timestamp,hours_from_start,station,pipeline,linepack_pressure_kg_cm2,gas_flow_mmscmd,segment_demand_mmscmd,net_balance_mmscmd,ambient_temp_c,siemens_gt_exhaust_temp_c
2026-09-21 01:00:00,19,Chhainsa_CS,HVJ_Trunkline,82.6,48.15,45.54,2.62,26.0,536.6
2026-09-21 02:00:00,20,Chhainsa_CS,HVJ_Trunkline,82.43,47.97,45.3,2.68,25.4,534.9
2026-09-21 03:00:00,21,Chhainsa_CS,HVJ_Trunkline,82.47,48.29,44.68,3.6,25.7,533.3
2026-09-21 04:00:00,22,Chhainsa_CS,HVJ_Trunkline,82.8,48.08,45.04,3.04,25.7,536.5
2026-09-21 05:00:00,23,Chhainsa_CS,HVJ_Trunkline,83.74,48.17,45.64,2.54,25.4,534.4
2026-09-21 06:00:00,24,Chhainsa_CS,HVJ_Trunkline,83.72,47.82,46.17,1.65,27.1,534.5
2026-09-21 07:00:00,25,Chhainsa_CS,HVJ_Trunkline,83.78,48.29,46.44,1.85,28.4,536.7
2026-09-21 08:00:00,26,Chhainsa_CS,HVJ_Trunkline,83.69,48.22,47.46,0.76,29.0,538.0
2026-09-21 09:00:00,27,Chhainsa_CS,HVJ_Trunkline,83.35,47.45,48.22,-0.77,31.3,538.8
2026-09-21 10:00:00,28,Chhainsa_CS,HVJ_Trunkline,83.63,48.12,48.95,-0.82,33.0,539.7
2026-09-21 11:00:00,29,Chhainsa_CS,HVJ_Trunkline,83.46,48.08,49.84,-1.76,33.8,538.2
2026-09-21 12:00:00,30,Chhainsa_CS,HVJ_Trunkline,83.21,48.27,50.78,-2.51,35.1,540.0
2026-09-21 13:00:00,31,Chhainsa_CS,HVJ_Trunkline,83.0,48.27,50.59,-2.32,35.6,539.5
2026-09-21 14:00:00,32,Chhainsa_CS,HVJ_Trunkline,83.02,47.99,51.5,-3.51,35.9,540.3
2026-09-21 15:00:00,33,Chhainsa_CS,HVJ_Trunkline,82.6,48.48,51.05,-2.57,37.0,539.6
2026-09-21 16:00:00,34,Chhainsa_CS,HVJ_Trunkline,82.06,47.66,50.82,-3.15,35.7,540.8
2026-09-21 17:00:00,35,Chhainsa_CS,HVJ_Trunkline,81.81,48.24,51.01,-2.76,36.3,542.1
2026-09-21 18:00:00,36,Chhainsa_CS,HVJ_Trunkline,81.72,48.21,49.3,-1.09,34.1,537.0
2026-09-21 19:00:00,37,Chhainsa_CS,HVJ_Trunkline,81.45,47.81,49.15,-1.33,33.9,538.7
2026-09-21 20:00:00,38,Chhainsa_CS,HVJ_Trunkline,81.09,47.68,49.04,-1.35,32.0,539.5
2026-09-21 21:00:00,39,Chhainsa_CS,HVJ_Trunkline,80.93,47.87,48.1,-0.23,31.4,538.3
2026-09-21 22:00:00,40,Chhainsa_CS,HVJ_Trunkline,81.05,47.63,46.91,0.72,29.7,537.4
2026-09-21 23:00:00,41,Chhainsa_CS,HVJ_Trunkline,81.34,48.27,45.79,2.48,28.9,537.7
2026-09-22 00:00:00,42,Chhainsa_CS,HVJ_Trunkline,81.89,48.08,46.23,1.85,27.3,536.5
2026-09-22 01:00:00,43,Chhainsa_CS,HVJ_Trunkline,82.29,47.96,44.72,3.25,25.6,536.3
2026-09-22 02:00:00,44,Chhainsa_CS,HVJ_Trunkline,82.72,47.5,45.39,2.1,26.1,535.2
2026-09-22 03:00:00,45,Chhainsa_CS,HVJ_Trunkline,83.21,48.46,45.02,3.44,24.7,533.9
2026-09-22 04:00:00,46,Chhainsa_CS,HVJ_Trunkline,83.12,47.84,45.04,2.8,26.0,532.7
2026-09-22 05:00:00,47,Chhainsa_CS,HVJ_Trunkline,83.89,47.94,45.48,2.46,26.2,536.3
2026-09-22 06:00:00,48,Chhainsa_CS,HVJ_Trunkline,83.65,48.1,45.8,2.29,26.6,537.4
2026-09-22 07:00:00,49,Chhainsa_CS,HVJ_Trunkline,84.02,48.08,46.57,1.51,28.5,536.4
2026-09-22 08:00:00,50,Chhainsa_CS,HVJ_Trunkline,83.68,47.99,47.92,0.07,29.7,538.0
2026-09-22 09:00:00,51,Chhainsa_CS,HVJ_Trunkline,83.78,48.16,48.45,-0.29,31.0,539.5
2026-09-22 10:00:00,52,Chhainsa_CS,HVJ_Trunkline,83.71,48.34,48.91,-0.57,32.2,538.5
2026-09-22 11:00:00,53,Chhainsa_CS,HVJ_Trunkline,83.63,48.38,50.06,-1.68,34.2,540.3
2026-09-22 12:00:00,54,Chhainsa_CS,HVJ_Trunkline,83.4,48.65,50.54,-1.89,34.5,541.8
2026-09-22 13:00:00,55,Chhainsa_CS,HVJ_Trunkline,83.38,48.03,50.8,-2.77,36.3,540.7
2026-09-22 14:00:00,56,Chhainsa_CS,HVJ_Trunkline,83.19,48.16,51.17,-3.01,35.8,540.8
2026-09-22 15:00:00,57,Chhainsa_CS,HVJ_Trunkline,82.67,47.48,51.01,-3.52,36.4,540.4
2026-09-22 16:00:00,58,Chhainsa_CS,HVJ_Trunkline,82.35,47.82,51.04,-3.22,36.9,540.1
2026-09-22 17:00:00,59,Chhainsa_CS,HVJ_Trunkline,81.94,47.7,50.76,-3.06,36.3,539.4
2026-09-22 18:00:00,60,Chhainsa_CS,HVJ_Trunkline,81.61,47.56,49.96,-2.4,34.6,540.5
2026-09-22 19:00:00,61,Chhainsa_CS,HVJ_Trunkline,81.41,47.78,49.3,-1.52,34.2,540.8
2026-09-22 20:00:00,62,Chhainsa_CS,HVJ_Trunkline,81.27,47.83,48.66,-0.84,32.6,539.0
2026-09-22 21:00:00,63,Chhainsa_CS,HVJ_Trunkline,81.2,47.79,47.99,-0.21,31.1,538.5
2026-09-22 22:00:00,64,Chhainsa_CS,HVJ_Trunkline,80.84,48.68,46.88,1.8,29.5,538.0
2026-09-22 23:00:00,65,Chhainsa_CS,HVJ_Trunkline,81.0,47.91,46.36,1.55,28.5,536.4
2026-09-23 00:00:00,66,Chhainsa_CS,HVJ_Trunkline,81.8,48.0,46.12,1.88,27.4,536.5
2026-09-23 01:00:00,67,Chhainsa_CS,HVJ_Trunkline,81.95,48.11,44.98,3.13,27.0,536.1
2026-09-23 02:00:00,68,Chhainsa_CS,HVJ_Trunkline,82.24,48.02,44.66,3.36,25.5,534.3
2026-09-23 03:00:00,69,Chhainsa_CS,HVJ_Trunkline,83.01,47.37,44.9,2.47,25.5,535.2
2026-09-23 04:00:00,70,Chhainsa_CS,HVJ_Trunkline,83.07,48.52,44.98,3.54,25.6,535.7
2026-09-23 05:00:00,71,Chhainsa_CS,HVJ_Trunkline,83.23,48.95,45.51,3.44,27.0,533.4
